NAME,Code,INDUSTRY GROUP,INDUSTRY GROUP,MNEMONIC,CURRENCY,GEOGRAPHIC DESCR.,ISIN CODE
VICTREX,870364,33,Specialty Chemicals,VCT,Pound,UNITED KINGDOM,GB0009292243
VIFOR PHARMA,993229,95,Pharmaceuticals,S:VIFN,SF,SWITZERLAND,CH0364749348
VINCI,772568,39,Construction,F:DG@F,E,FRANCE,FR0000125486
VISCOFAN,749099,71,Food Products,E:VIS,E,SPAIN,ES0184262212
VIVENDI,923139,246,Radio TV Broadcasters,F:EX@F,E,FRANCE,FR0000127771
VODAFONE GROUP,953133,142,Telecom. Services,VOD,Pound,UNITED KINGDOM,GB00BH4HKS39
VOESTALPINE,303482,56,Iron & Steel,O:VAS,E,AUSTRIA,AT0000937503
VOLKSWAGEN PREF. (XET),888096,65,Automobiles,D:VOW3X,E,GERMANY,DE0007664039
VOLVO B,944486,117,"Comm. Vehicles, Parts",W:VOBF,SK,SWEDEN,SE0000115446
KONINKLIJKE VOPAK,278066,64,Transport Services,H:VPK,E,NETHERLANDS,NL0009432491
VALMET,8696MY,43,Machinery: Industrial,M:VALM,E,FINLAND,FI4000074984
VONOVIA (XET),89379C,112,"Real Estate Hold, Dev",D:VNAX,E,GERMANY,DE000A1ML7J1
WARTSILA,772963,230,Machinery: Engines,M:WRT,E,FINLAND,FI0009003727
WDP,672654,160,Industrial REITs,B:WDP,E,BELGIUM,BE0003763779
WEIR GROUP,900699,43,Machinery: Industrial,WEIR,Pound,UNITED KINGDOM,GB0009465807
WENDEL,929215,101,Divers. Industrials,F:MF@F,E,FRANCE,FR0000121204
WHITBREAD,900271,72,Restaurants & Bars,WTB,Pound,UNITED KINGDOM,GB00B1KJJ408
WIENERBERGER,998096,30,Bldg Materials: Other,O:WNBA,E,AUSTRIA,AT0000831706
WIRECARD (XET),268566,261,Transaction Process,D:WDIX,E,GERMANY,DE0007472060
WOLTERS KLUWER,932826,84,Publishing,H:WSG,E,NETHERLANDS,NL0000395903
WOOD GROUP (JOHN),258098,51,Oil Equipment & Svs,WG.,Pound,UNITED KINGDOM,GB00B5N0P849
WORLDLINE,8914MZ,261,Transaction Process,F:WLN,E,FRANCE,FR0011981968
WPP,926119,41,Media Agencies,WPP,Pound,UNITED KINGDOM,JE00B8KF9B49
YARA INTERNATIONAL,28681E,217,Fertilizers,N:YARA,NK,NORWAY,NO0010208051
ZALANDO (XET),9142RP,66,Apparel Retailers,D:ZALX,E,GERMANY,DE000ZAL1111
ZURICH INSURANCE GROUP,929733,141,Full Line Insurance,S:ZURN,SF,SWITZERLAND,CH0011075394
